bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.51,-0.18,0.359,,15,0.1177,0.0052,0.0052,,,0.00355,0.0067,0.0067,,,https://doi.org/10.1038/s41467-017-01819-3
,5.55,1.51,-0.18,0.359,,45,0.1107,0.0052,0.0052,,,0.0117,0.0064,0.0064,,,
,5.55,1.51,-0.18,0.359,,75,0.0974,0.005,0.005,,,0.0116,0.006,0.006,,,
,5.55,1.51,-0.18,0.359,,105,0.091,0.0048,0.0048,,,0.000877,0.0055,0.0055,,,
,5.55,1.51,-0.18,0.359,,135,0.0807,0.0047,0.0047,,,0.0144,0.0052,0.0052,,,
,5.55,1.51,-0.18,0.359,,165,0.0718,0.0047,0.0047,,,0.0092,0.0051,0.0051,,,
,5.55,1.51,-0.18,0.359,,195,0.0793,0.0048,0.0048,,,0.00539,0.0052,0.0052,,,
,5.55,1.51,-0.18,0.359,,225,0.0863,0.0049,0.0049,,,-0.00299,0.0053,0.0053,,,
,5.55,1.51,-0.18,0.359,,255,0.0852,0.0049,0.0049,,,-0.0127,0.0056,0.0056,,,
,5.55,1.51,-0.18,0.359,,285,0.094,0.005,0.005,,,-0.00869,0.006,0.006,,,
,5.55,1.51,-0.18,0.359,,315,0.1045,0.0051,0.0051,,,-0.00348,0.0064,0.0064,,,
,5.55,1.51,-0.18,0.359,,345,0.1072,0.0051,0.0051,,,-0.00633,0.0066,0.0066,,,
,5.55,1.51,-0.237,0.359,,15,0.1055,0.0058,0.0058,,,0.0105,0.0068,0.0068,,,
,5.55,1.51,-0.237,0.359,,45,0.0967,0.0053,0.0053,,,0.0219,0.0062,0.0062,,,
,5.55,1.51,-0.237,0.359,,75,0.0877,0.0052,0.0052,,,0.0134,0.0057,0.0057,,,
,5.55,1.51,-0.237,0.359,,105,0.08,0.0052,0.0052,,,0.0141,0.0053,0.0053,,,
,5.55,1.51,-0.237,0.359,,135,0.0674,0.0051,0.0051,,,0.00121,0.0049,0.0049,,,
,5.55,1.51,-0.237,0.359,,165,0.0677,0.0058,0.0058,,,0.00108,0.0051,0.0051,,,
,5.55,1.51,-0.237,0.359,,195,0.0641,0.0058,0.0058,,,-0.00179,0.0051,0.0051,,,
,5.55,1.51,-0.237,0.359,,225,0.0775,0.0055,0.0055,,,0.00109,0.0051,0.0051,,,
,5.55,1.51,-0.237,0.359,,255,0.0889,0.0056,0.0056,,,-0.0114,0.0055,0.0055,,,
,5.55,1.51,-0.237,0.359,,285,0.1007,0.0057,0.0057,,,-0.0115,0.0059,0.0059,,,
,5.55,1.51,-0.237,0.359,,315,0.1045,0.0055,0.0055,,,-0.0199,0.0062,0.0062,,,
,5.55,1.51,-0.237,0.359,,345,0.1229,0.0059,0.0059,,,0.00169,0.0068,0.0068,,,
,5.55,1.52,-0.298,0.361,,15,0.1074,0.0087,0.0087,,,0.00557,0.0081,0.0081,,,
,5.55,1.52,-0.298,0.361,,45,0.085,0.006,0.006,,,0.00829,0.0064,0.0064,,,
,5.55,1.52,-0.298,0.361,,75,0.0706,0.0057,0.0057,,,0.0176,0.006,0.006,,,
,5.55,1.52,-0.298,0.361,,105,0.0635,0.0059,0.0059,,,0.0112,0.0059,0.0059,,,
,5.55,1.52,-0.298,0.361,,135,0.0658,0.0064,0.0064,,,0.00475,0.0057,0.0057,,,
,5.55,1.52,-0.298,0.361,,165,0.0603,0.0082,0.0082,,,-0.00268,0.0066,0.0066,,,
,5.55,1.52,-0.298,0.361,,195,0.0543,0.0082,0.0082,,,-0.00521,0.0069,0.0069,,,
,5.55,1.52,-0.298,0.361,,225,0.0696,0.0068,0.0068,,,-0.0053,0.0059,0.0059,,,
,5.55,1.52,-0.298,0.361,,255,0.0705,0.0064,0.0064,,,-0.000777,0.0061,0.0061,,,
,5.55,1.52,-0.298,0.361,,285,0.0824,0.0064,0.0064,,,-0.016,0.0063,0.0063,,,
,5.55,1.52,-0.298,0.361,,315,0.083,0.006,0.006,,,-0.0124,0.0065,0.0065,,,
,5.55,1.52,-0.298,0.361,,345,0.0898,0.0082,0.0082,,,-0.0133,0.008,0.008,,,
,5.55,1.74,-0.183,0.359,,7.5,0.0962,0.0033,0.0033,,,0.00457,0.0042,0.0042,,,
,5.55,1.74,-0.183,0.359,,22.5,0.0896,0.0032,0.0032,,,0.0082,0.0042,0.0042,,,
,5.55,1.74,-0.183,0.359,,37.5,0.0902,0.0032,0.0032,,,0.00177,0.0041,0.0041,,,
,5.55,1.74,-0.183,0.359,,52.5,0.0848,0.0031,0.0031,,,0.0099,0.004,0.004,,,
,5.55,1.74,-0.183,0.359,,67.5,0.0737,0.0029,0.0029,,,0.00799,0.0037,0.0037,,,
,5.55,1.74,-0.183,0.359,,82.5,0.0681,0.0028,0.0028,,,0.00943,0.0036,0.0036,,,
,5.55,1.74,-0.183,0.359,,97.5,0.0632,0.0026,0.0026,,,0.00507,0.0033,0.0033,,,
,5.55,1.74,-0.183,0.359,,112.5,0.057,0.0025,0.0025,,,0.00281,0.0032,0.0032,,,
,5.55,1.74,-0.183,0.359,,127.5,0.0536,0.0024,0.0024,,,0.00415,0.003,0.003,,,
,5.55,1.74,-0.183,0.359,,142.5,0.0505,0.0024,0.0024,,,-0.00243,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,157.5,0.0502,0.0023,0.0023,,,0.000722,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,172.5,0.0508,0.0024,0.0024,,,-0.00196,0.0028,0.0028,,,
,5.55,1.74,-0.183,0.359,,187.5,0.0527,0.0024,0.0024,,,0.000206,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,202.5,0.0512,0.0024,0.0024,,,-0.00409,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,217.5,0.0509,0.0024,0.0024,,,-0.00132,0.003,0.003,,,
,5.55,1.74,-0.183,0.359,,232.5,0.0571,0.0025,0.0025,,,-0.00558,0.0031,0.0031,,,
,5.55,1.74,-0.183,0.359,,247.5,0.06,0.0026,0.0026,,,-0.0031,0.0032,0.0032,,,
,5.55,1.74,-0.183,0.359,,262.5,0.0662,0.0027,0.0027,,,-0.00468,0.0034,0.0034,,,
,5.55,1.74,-0.183,0.359,,277.5,0.0721,0.0029,0.0029,,,-0.0108,0.0036,0.0036,,,
,5.55,1.74,-0.183,0.359,,292.5,0.0773,0.003,0.003,,,-0.0185,0.0038,0.0038,,,
,5.55,1.74,-0.183,0.359,,307.5,0.0759,0.003,0.003,,,-0.0097,0.0039,0.0039,,,
,5.55,1.74,-0.183,0.359,,322.5,0.0886,0.0031,0.0031,,,-0.00834,0.0041,0.0041,,,
,5.55,1.74,-0.183,0.359,,337.5,0.088,0.0032,0.0032,,,-0.00423,0.0042,0.0042,,,
,5.55,1.74,-0.183,0.359,,352.5,0.0948,0.0033,0.0033,,,0.0043,0.0043,0.0043,,,
,5.55,1.74,-0.242,0.359,,7.5,0.1009,0.0036,0.0036,,,0.00381,0.0043,0.0043,,,
,5.55,1.74,-0.242,0.359,,22.5,0.0875,0.0035,0.0035,,,0.0106,0.0042,0.0042,,,
,5.55,1.74,-0.242,0.359,,37.5,0.0879,0.0034,0.0034,,,0.0138,0.004,0.004,,,
,5.55,1.74,-0.242,0.359,,52.5,0.0802,0.0032,0.0032,,,0.0117,0.0037,0.0037,,,
,5.55,1.74,-0.242,0.359,,67.5,0.0646,0.0029,0.0029,,,0.0147,0.0034,0.0034,,,
,5.55,1.74,-0.242,0.359,,82.5,0.0588,0.0028,0.0028,,,0.00678,0.0032,0.0032,,,
,5.55,1.74,-0.242,0.359,,97.5,0.0546,0.0027,0.0027,,,0.00728,0.003,0.003,,,
,5.55,1.74,-0.242,0.359,,112.5,0.0512,0.0027,0.0027,,,0.00483,0.0029,0.0029,,,
,5.55,1.74,-0.242,0.359,,127.5,0.0471,0.0026,0.0026,,,0.00488,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,142.5,0.0412,0.0025,0.0025,,,0.0056,0.0027,0.0027,,,
,5.55,1.74,-0.242,0.359,,157.5,0.0411,0.0026,0.0026,,,0.00738,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,172.5,0.0435,0.0027,0.0027,,,0.0007,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,187.5,0.0448,0.0027,0.0027,,,0.00244,0.0029,0.0029,,,
